Date,Obs,Order,ID,species,treatment ,HHMMSS,FTime,EBal?,Photo,Cond,intr_WUE,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
6/17/21,61,61,1_9,CADE,1,11:03:33,3543.499921,0,4.721591461,0.169769829,27.81172302,340.0860907,1.856931313,1.084185104,18.63775444,6,1.420000017,0.5,2.840000033,18.39851761,18.63775444,17.49838448,400.158783,393.6112366,9.058553696,11.26330376,40.58222198,50.45947266,499.6528625,2000.317871,473.8944092,95.14421082,-1.063224792,0.197147161,0.025663065,0.001353715,0.020747978,0.002030001,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832754771,0.001856931,291.7877544,291.5485176,320.0508522,2.699992892,2.155823251,22.65848056,11.3951768,18.51813602,2.139738974,0.16019375,1.071638147,1.068100827,0.100939552,32.35722271,0.864015199,51.72697163,391.3668181,0.00624053
6/17/21,62,62,1_9,CADE,1,11:03:33,3543.999921,0,4.705654892,0.169659451,27.73588423,340.2325098,1.85541989,1.083971924,18.63430405,6,1.420000017,0.5,2.840000033,18.39836121,18.63430405,17.49829292,400.1563721,393.6288147,9.057749748,11.26065159,40.57901764,50.4480896,499.6663818,2000.272461,374.8034973,95.14421844,-1.063224792,0.197147161,0.025663065,0.001353715,0.020747978,0.002030001,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832777303,0.00185542,291.784304,291.5483612,320.0435866,2.701089386,2.155357819,22.65358688,11.3929353,18.51633263,2.139497291,0.160095469,1.071385895,1.068111397,0.100877118,32.37115624,0.864348587,51.7244561,391.3919717,0.006218764
6/17/21,63,63,1_9,CADE,1,11:03:34,3544.499921,0,4.729063919,0.169368417,27.9217578,339.9057757,1.852309799,1.083913421,18.63183975,6,1.420000017,0.5,2.840000033,18.39805031,18.63183975,17.49819565,400.1614075,393.6072693,9.058558464,11.25777054,40.58344269,50.43618011,499.6672058,2000.276489,369.1551208,95.14424133,-1.063224792,0.197147161,0.025663065,0.001353715,0.020747978,0.002030001,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832778676,0.00185231,291.7818398,291.5480503,320.0442311,2.702941236,2.155025458,22.65008821,11.39231767,18.51494503,2.139311348,0.159836297,1.071112037,1.068199311,0.10071248,32.34007715,0.863565798,51.71510416,391.3592988,0.006249092
6/17/21,64,64,1_9,CADE,1,11:03:34,3544.999921,0,4.741631853,0.169157225,28.03091534,339.714997,1.849580104,1.083602297,18.62777901,6,1.420000017,0.5,2.840000033,18.39771271,18.62777901,17.49801445,400.1611938,393.5933838,9.059275627,11.25521946,40.58774948,50.42611313,499.6747131,2000.25061,333.840271,95.14479828,-1.063224792,0.197147161,0.025663065,0.001353715,0.020747978,0.002030001,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832791189,0.00184958,291.777779,291.5477127,320.0400905,2.704744021,2.154477882,22.64420043,11.38898097,18.51274586,2.13901668,0.159648195,1.070875585,1.068141095,0.100592992,32.32211486,0.863111554,51.71351393,391.3394391,0.006265825
6/17/21,65,65,1_9,CADE,1,11:03:35,3545.499921,0,4.743628159,0.16898524,28.07125734,339.6509844,1.847781847,1.083591499,18.62633514,6,1.420000017,0.5,2.840000033,18.39772797,18.62633514,17.49824524,400.1636658,393.5942688,9.059453964,11.25327969,40.58853912,50.41740799,499.6718445,2000.255859,248.9834595,95.14485931,-1.063224792,0.197147161,0.025663065,0.001353715,0.020747978,0.002030001,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832786407,0.001847782,291.7763351,291.547728,320.0409303,2.705846381,2.154283212,22.64213986,11.38886017,18.51203156,2.138920978,0.159494993,1.070691713,1.068229265,0.100495675,32.31604513,0.862946977,51.70696986,391.3393752,0.006267671
6/9/21,71,301,1_9,CADE,1,11:36:26,5690.499955,0,9.568416718,0.292299227,32.73500521,323.9739642,3.05294635,1.073362983,23.56484604,6,1.420000017,1,2.840000033,21.69263649,23.56484604,20.10246277,400.3486023,387.4338684,15.70284081,19.29936409,57.62042999,70.81761169,499.4867859,1999.14209,631.7614136,95.55821228,-0.667626977,-0.109911002,0,0,0,0,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832477976,0.003052946,296.714846,294.8426365,319.8627272,1.871631204,2.917575713,30.53192021,11.23255612,22.62874126,2.756979702,0.265022511,1.844212731,0.912766972,0.167891235,30.95837284,0.836204552,65.79123576,382.8855014,0.016441415
6/9/21,72,302,1_9,CADE,1,11:36:26,5690.499955,0,9.568416718,0.292299227,32.73500521,323.9739642,3.05294635,1.073362983,23.56484604,6,1.420000017,1,2.840000033,21.69263649,23.56484604,20.10246277,400.3486023,387.4338684,15.70284081,19.29936409,57.62042999,70.81761169,499.4867859,1999.14209,631.7614136,95.55821228,-0.667626977,-0.109911002,0,0,0,0,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832477976,0.003052946,296.714846,294.8426365,319.8627272,1.871631204,2.917575713,30.53192021,11.23255612,22.62874126,2.756979702,0.265022511,1.844212731,0.912766972,0.167891235,30.95837284,0.836204552,65.79123576,382.8855014,0.016441415
6/9/21,73,303,1_9,CADE,1,11:36:27,5690.999955,0,9.542993704,0.292028762,32.67826648,324.0555729,3.051210733,1.07365921,23.56500053,6,1.420000017,1,2.840000033,21.69224167,23.56500053,20.10268402,400.2982483,387.4148254,15.7019558,19.29647446,57.6187973,70.80899048,499.4826965,1999.123779,647.9945679,95.55857849,-0.667626977,-0.109911002,0,0,0,0,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832471161,0.003051211,296.7150005,294.8422417,319.8597975,1.872399644,2.917602879,30.53208749,11.23561303,22.6286211,2.756959594,0.26480015,1.843943669,0.913015925,0.167748456,30.9662899,0.836456304,65.7792063,382.8785433,0.016395031
6/9/21,74,304,1_9,CADE,1,11:36:28,5691.999955,0,9.432019348,0.291794678,32.3241651,324.6988705,3.047172826,1.07302631,23.55717278,6,1.420000017,1,2.840000033,21.6922493,23.55717278,20.102211,400.1882324,387.4403076,15.69909477,19.28877068,57.60804749,70.7804184,499.4985657,1999.072754,650.368042,95.55821228,-0.667626977,-0.109911002,0,0,0,0,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832497609,0.003047173,296.7071728,294.8422493,319.8516335,1.875357955,2.916226752,30.51780358,11.2290329,22.62471104,2.75630536,0.264607668,1.843200443,0.913104917,0.167624865,31.02764359,0.838061668,65.78106827,382.9567773,0.016201523
6/9/21,75,305,1_9,CADE,1,11:36:29,5693.999955,0,9.277570046,0.290203405,31.96919776,325.2488572,3.046123998,1.077979069,23.58094597,6,1.420000017,1,2.840000033,21.69237137,23.58094597,20.09760094,399.9438477,387.3827209,15.69224739,19.28055382,57.58291626,70.75025177,499.5213928,1998.945557,572.543457,95.55891418,-0.667626977,-0.109911002,0,0,0,0,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832535655,0.003046124,296.730946,294.8423714,319.8312819,1.872562882,2.920407857,30.56133362,11.2807798,22.63665867,2.758304873,0.263298439,1.842428788,0.915876085,0.166784286,31.08042763,0.839606001,65.65426831,382.9726085,0.015904847
