# Simulated random data file for batch processing
# timestamp: 2022-04-06 15:41:03
# RHS
# ------------------------

"var_x","var_y"
0.477988017722964,0.36489897640422
0.955057401908562,0.831996287219226
0.28174390248023,0.722102777101099
0.30886460817419,0.202228632289916
0.800707920687273,0.281493793008849
0.134271325310692,0.852660864358768
0.761979745700955,0.0617381837219
NA,0.604893770767376
0.851703648921102,0.620935095706955
0.444930772064254,0.548177603399381
0.74442297895439,0.281124437227845
NA,0.823923516785726
0.11968966666609,0.1870508256834
0.0578793657477945,0.812406104290858
0.39759028959088,0.828157881274819
NA,0.269183781929314
0.107920960290357,0.00175331835635006
0.101570808095858,0.486487474292517
0.195787812117487,0.131760049378499
0.819838717579842,0.586316284257919
0.242488645482808,0.268504098756239
0.00279537029564381,0.342352783540264
0.94348470075056,0.776801317697391
0.946308773942292,0.224639101186767
NA,NA
0.447019876446575,0.567312949337065
0.689005264546722,0.0664759406354278
0.440246584825218,0.570306858280674
0.237068176735193,0.574195427354425
0.855375209823251,NA
0.516441532177851,0.545491262106225
0.819074344122782,0.381843903567642
0.841026594862342,NA
0.673540316987783,0.105991767719388
0.0125212434213609,0.204295993316919
0.167671152856201,NA
0.611055138520896,0.407345082145184
0.530711242230609,0.522110993042588
0.953549103345722,0.202606382081285
0.996853006538004,0.970978394383565
0.446118182269856,0.111758417682722
0.596566955326125,0.10084263025783
0.779988429276273,0.0730235243681818
0.863064002012834,0.0842314888723195
0.517731715459377,0.991019643144682
0.422400173731148,0.356693418696523
0.478717531543225,0.570592096075416
0.187653294065967,0.0332161821424961
0.708184543764219,0.851335243089125
0.123503357870504,0.190889593446627
0.167515655048192,0.863920606439933
0.853168743895367,0.21729656169191
0.819718664046377,0.805798527551815
0.648694923147559,0.15592407155782
0.421610600780696,0.652204624610022
0.727271656971425,0.849315885221586
0.25813400093466,0.85420546727255
0.508309902157634,NA
0.639385267859325,0.573358207708225
0.184177263174206,0.784016746329144
0.0279433836694807,0.014992845710367
0.927743934560567,NA
0.944066339405254,0.971610276261345
0.805227610748261,0.805909513495862
0.144528456963599,0.29774250742048
0.56065679830499,0.267451294697821
0.603794209426269,0.434867752948776
0.811828831909224,0.675692674703896
0.94006731105037,0.342521043261513
0.412685746792704,0.223480143584311
0.233795480104163,0.132179826498032
0.390559896826744,0.489240247523412
0.435432688333094,0.10337275150232
0.740456154104322,0.999997222097591
NA,0.746065690880641
0.538103624712676,0.0992786709684879
0.878017809707671,0.433016506489366
0.377271852456033,0.88309926353395
0.484281366923824,0.475128773832694
0.0589770369697362,0.40842870878987
0.37424774421379,0.545523739885539
0.705528678139672,0.345001075416803
0.268693114398047,0.195558121660724
0.626928119920194,NA
0.996804373105988,0.765796146122739
0.17382624023594,0.441280064638704
0.680890185525641,0.835529247066006
0.911771605722606,0.300122123910114
NA,0.105987841263413
0.293556677177548,0.0806683290284127
0.927016243804246,0.681147016817704
0.452467379393056,0.354507089359686
0.529161137295887,0.46911954251118
NA,0.986003200756386
0.0656040464527905,0.381458582589403
0.388237763661891,0.158241468947381
0.96776609425433,0.247859739465639
0.414862342877313,0.152536430861801
0.796900858869776,0.369449873687699
0.121007793815807,0.629572720034048
